File_Name,File_Description,Standard,UTC_Offset,File_Version,Contact,Start_Date,End_Date,Northwest_Latitude_Coordinate,Northwest_Longitude_Coordinate,Southeast_Latitude_Coordinate,Southeast_Longitude_Coordinate,Latitude,Longitude,Missing_Value_Codes,Notes,Field_Name_Orientation
data_dictionary.csv,This spreadsheet describes each of the variables that appears in the data package,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
all_pages.csv,Describes the GitHub content on all pages that appear within each of the repositories included in this systematic review,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
contribution_guidelines.csv,Collects information on the ways that each organizations asks users to contribute to their data standards,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
whole_corpus.csv,This lists out all labels used when categorizing GitHub issues. They are listest as one continuous vector with each label separated by a comma,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
issues_vs_prs.csv,Data sheet for recording whether repositories collect user feedback through issues or pull requests,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
readme_pages.csv,Describes the GitHub content within each readme page for each of the repositories included in this systematic review,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
user_facing_site.csv,"Collects information on the type of user facing website, if any, created by repository owners",csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
search_results_dd.csv,Data dictionary dictionary for search_results.csv,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
site_directory_dd.csv,Data dictionary for site_directory.csv,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
all_pages_dd.csv,Data dictionary for all_pages.csv,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
contribution_guidelines_dd.csv,Data dictionary for contribution_guidelines.csv,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
issues_vs_prs_dd.csv,Data dictionary for issues_vs_prs.csv,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
user_facing_site_dd.csv,Data dictionary for user_facing_site.csv,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
whole_corpus_dd.csv,Dtaa dictionary for whole_corpus.csv,csv reporting format,N/A,1.0.0,Robert Crystal-Ornelas (rcrystalornelas@lbl.gov),-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999 | N/A,N/A,horizontal
