standards_from_fairshare_search,link,github_page,platform_used,purpose,does_this_format_allow_editing,stored_in_repository?,which_repository
Ontology of Geographical Region,N/A,N/A,"Bioportal (CSV, OBO, RDF, OWL)",conveying information,no,yes,bioportal
Interaction Ontology,N/A,N/A,"Bioportal (CSV, OBO, RDF, OWL)",conveying information,no,yes,bioportal
PhenX Phenotypic Terms,N/A,N/A,own website,conveying information,no,no,not in repository
Marine Environmental Data and Information Network checklist,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
"Marine Microbial Biodiversity, Bioinformatics, Biotechnology Checklist",N/A,N/A,journal article (PDF),conveying information,no,no,not in repository
OGC - Observations and Measurements,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
OGC - Observations and Measurements - XML Implementation,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
OGC - Sensor ML,https://github.com/xdomes/SensorML,yes,github,hosting files,yes,no,not in repository
Sampling Features OWL implementation,N/A,N/A,broken link to website (PDF),conveying information,no,no,not in repository
Directory Interchange Format,N/A,N/A,bitbucket,editing documents| releasing version,yes,no,not in repository
UK Environmental Observation Framework,N/A,N/A,own website (XML| PDF),conveying information,no,no,not in repository
ISO 19115-1:2014 Geographic information -- Metadata -- Part 1: Fundamentals,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
Environment Ontology for Livestock,N/A,N/A,INRAE,conveying information,no,yes,INRAE
National Agricultural Library Thesaurus,N/A,N/A,own website (XML| PDF| DOC),conveying information,no,no,not in repository
AnaEE Thesaurus,N/A,N/A,Agroportal,conveying information,no,yes,agroportal
Country and Location Ontology,N/A,N/A,own website (CSV | OBO | RDF),conveying information,no,no,not in repository
ISO 19115-2:2009 Geographic information -- Metadata -- Part 2: Extensions for imagery and gridded data,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
ISO/TS 19115-3:2016 Geographic information -- Metadata -- Part 3: XML schema implementation for fundamental concepts,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
North American Profile of ISO19115:2003 - Geographic information - Metadata,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
Shoreline Metadata Profile of the Content Standards for Digital Geospatial Metadata,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
UK GEo-spatial Metadata INteroperability iNItiative Metadata Standard,N/A,N/A,own website,conveying information,no,no,not in repository
Water Markup Language,N/A,N/A,own website (pdf),conveying information,no,no,not in repository
EDMED Metadata profile format,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
AGRIS Application Profile,N/A,N/A,own website,conveying information,no,no,not in repository
ANZLIC,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
Cooperative Ocean-Atmosphere Research Data Service Conventions,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
Cruise Summary Reports,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
Content Standard for Digital Geospatial Metadata: Extensions for Remote Sensing Metadata,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
Energy Industry Profile (EIP) v1.1 of ISO-19115-1:2014,N/A,N/A,own website (PDF),conveying information,no,no,not in repository
History and Sciences of Religions Vocabulary,N/A,N/A,own website (PDF; CSV; XML),conveying information,no,no,not in repository
Vocabulary of Earth Sciences,N/A,N/A,own website (PDF; CSV; XML),conveying information,no,no,not in repository
French Communes,N/A,N/A,own website (PDF; CSV; XML),conveying information,no,no,not in repository
Biodiversity Thesaurus,N/A,N/A,own website (PDF; CSV; XML),conveying information,no,no,not in repository
GeoNames Ontology,N/A,N/A,own website (RDF),conveying information,no,no,not in repository
Agriculture and Forestry Ontology,N/A,N/A,own website,conveying information,no,no,not in repository
